number_series,answer,obfuscation
"11, 121, 15, ...",225,"Mercury Mercury, 121, 15, ..."
"24, 31, 52, 87, 136, ?",199,"24, Earth Mercury, Jupiter Venus, Neptune Uranus, 136, ?"
"19, 32, 48, 71, 99, 134",48,"19, Earth Venus, Mars Neptune, Uranus Mercury, 99, Mercury Earth Mars"
"524, 260, 128, 62, ?, 12.5",29,"Jupiter Venus Mars, Venus Saturn Sun, 128, Saturn Venus, ?, 12.5"
"27, 35, 47, 63, 83, ?",105,"Venus Uranus, Earth Jupiter, Mars Uranus, Saturn Earth, Neptune Earth, ?"
"133, 207, 353, 501, 741, ?",987,"Mercury Earth Earth, Venus Sun Uranus, Earth Jupiter Earth, Jupiter Sun Mercury, Uranus Mars Mercury, ?"
"13, 15, 21, 37, 77, 173, ?",397,"13, Mercury Jupiter, 21, Earth Uranus, 77, 173, ?"
"5, 10, 30, 150, 600, 3600",150,"Jupiter, Mercury Sun, 30, Mercury Jupiter Sun, Saturn Sun Sun, Earth Saturn Sun Sun"
"16800, 4200, 1050, 262.5, ?, 16.40625",65.625,"Mercury Saturn Neptune Sun Sun, Mars Venus Sun Sun, Mercury Sun Jupiter Sun, 262.5, ?, 16.40625"
"4, 20, 51, 105, ?, 314",190,"Mars, 20, Jupiter Mercury, 105, ?, Earth Mercury Mars"
"3, 5, 5, 19, 7, 41, 9, ...",71,"3, Jupiter, 5, 19, 7, Mars Mercury, 9, ..."
"225, 236, 260, 301, 355, 430",301,"225, Venus Earth Saturn, Venus Saturn Sun, Earth Sun Mercury, Earth Jupiter Jupiter, Mars Earth Sun"
"9, 265, 393, 457, 489, ?",505,"Pluto, Venus Saturn Jupiter, Earth Pluto Earth, Mars Jupiter Uranus, Mars Neptune Pluto, ?"
"43, 47, 56, 81, 130, ?",251,"Mars Earth, Mars Uranus, Jupiter Saturn, 81, 130, ?"
"40, 45, 135, 442.5, 1285, 3837.5",135,"Mars Sun, Mars Jupiter, Mercury Earth Jupiter, 442.5, Mercury Venus Neptune Jupiter, 3837.5"
"13, 15, 19, 27, 43, ?",75,"Mercury Earth, 15, 19, Venus Uranus, Mars Earth, ?"
"2, 4, 10, 34, 152, 874",152,"Venus, Mars, Mercury Sun, 34, 152, Neptune Uranus Mars"
"1, 2, 6, 15, ..., 56, 92",31,"1, Venus, Saturn, 15, ..., 56, 92"
"121, 145, 171, 199, 229, 264",264,"Mercury Venus Mercury, Mercury Mars Jupiter, 171, Mercury Pluto Pluto, Venus Venus Pluto, Venus Saturn Mars"
"8, 39, 79, 394, 789, ?",3944,"Neptune, Earth Pluto, Uranus Pluto, Earth Pluto Mars, Uranus Neptune Pluto, ?"
"4, 9, 6, 11, 8, ...",13,"4, 9, 6, Mercury Mercury, 8, ..."
"9, 11, 14, 16, 19, 21, ...",24,"9, Mercury Mercury, 14, 16, Mercury Pluto, 21, ..."
"125, 126, 130, 139, 155, 180, ?",216,"Mercury Venus Jupiter, 126, Mercury Earth Sun, Mercury Earth Pluto, Mercury Jupiter Jupiter, 180, ?"
"156, 145, 123, 90, 46, ?",-9,"Mercury Jupiter Saturn, Mercury Mars Jupiter, Mercury Venus Earth, Pluto Sun, Mars Saturn, ?"
