number_series,answer,obfuscation,obfuscation_ground_truth
"7, 10, 8, 11, 9, 12, ...",10,"August, February January, September, February February, November, February March, ",February January
"36, 34, 30, 28, 24, ...",22,"April July, April May, April January, March September, March May, ",March March
"22, 21, 23, 22, 24, 23, ...",25,"March March, March February, March April, March March, March May, March April, ",March June
"53, 53, 40, 40, 27, 27, ...",14,"June April, June April, May January, May January, March August, March August, ",February May
"21, 9, 21, 11, 21, 13, 21, ...",15,"March February, November, March February, February February, March February, February April, March February, ",February June
"58, 52, 46, 40, 34, ...",28,"June September, June March, May July, May January, April May, ",March September
"3, 4, 7, 8, 11, 12, ...",15,"April, May, August, September, February February, February March, ",February June
"8, 22, 8, 28, 8, ...",34,"September, March March, September, March September, September, ",April May
"31, 29, 24, 22, 17, ...",15,"April February, March November, March May, March March, February August, ",February June
"1.5, 2.3, 3.1, 3.9, ...",4.7,"February June, March April, April February, April November, ",May August
"14, 28, 20, 40, 32, 64, ...",56,"February May, March September, March January, May January, April March, July May, ",June July
"2, 4, 6, 8, 10, ...",12,"March, May, July, September, February January, ",February March
"201, 202, 204, 207, ...",211,"March January February, March January March, March January May, March January August, ",March February February
"544, 509, 474, 439, ...",404,"June May May, June January November, May August May, May April November, ",May January May
"80, 10, 70, 15, 60, ...",20,"September January, February January, August January, February June, July January, ",March January
"2, 6, 18, 54, ...",162,"March, July, February September, June May, ",February July March
"5.2, 4.8, 4.4, 4, ...",3.6,"June March, May September, May May, May, ",April July
"8, 6, 9, 23, 87, ...",429,"September, July, November, March April, September August, ",May March November
"2, 5, 12.5, ...",31.25,"March, June, February March June, ",April February March June
"50, 45, 40, 35, 30, ...",25,"June January, May June, May January, April June, April January, ",March June
"-10, -8, 6, 40, 102, ...",200,"February January, September, July, May January, February January March, ",March January January
"25, 49, 121, 169, ...",289,"March June, May November, February March February, February July November, ",March September November
"1, 30, 5, 26, 9, 22, 13, 18, ...",17,"February, April January, June, March July, November, March March, February April, February September, ",February August
"4, 18, ...",48,"May, February September, ",May September
"11, 12, 15, 20, 27, ...",36,"February February, February March, February June, March January, March August, ",April July
"14, 25, 47, 91, 179, ...",355,"February May, March June, May August, November February, February August November, ",April June June
"4, 6, 9, 14, 21, ...",32,"May, July, November, February May, March February, ",April March
"3, 4, 7, 8, 11, 12, ...","15,16","April, May, August, September, February February, February March, ",February June February July
"2, 3, 12, 37, 86, 166, 288, ...",166,"March, April, February March, April August, September July, February July July, March September September, ",February July July
"81, 101, 121, ...",145,"September February, February January February, February March February, ",February May June
"11, 121, 15, ...",225,"February February, February March February, February June, ",March March June
"2, 4, 8, 10, 14, ...",16,"March, May, September, February January, February May, ",February July
"1, 8, 9, 64, ...",25,"February, September, November, July May, ",March June
"6, 11, 18, 27, ...",38,"July, February February, February September, March August, ",April September
"3, 4.5, 9, ...",22.5,"April, May June, November, ",March March June
"3, 5, 7, 9, 11, ...",13,"April, June, August, November, February February, ",February April
"1, 7, 37, 187, 937, ...",4687,"February, August, April August, February September August, November April August, ",May July September August
"1, 5, 19, 81, ...",411,"February, June, February November, September February, ",May February February
"2, 6, 12, 20, ...",30,"March, July, February March, March January, ",April January
"64, 58, 52, 46, ...",40,"July May, June September, June March, May July, ",May January
"3, 9, 27, 81, ...",243,"April, November, March August, September February, ",March May April
"240, 60, 15, 5, ...",2,"March May January, July January, February June, June, ",March
"1, 4, 9, 16, ...",25,"February, May, November, February July, ",March June
"8, 27, 64, 125, ...",216,"September, March August, July May, February March June, ",March February July
