number_series,answer,greek_obfuscation
"7, 10, 8, 11, 9, 12, ...",10,"7, 10, 8, 11, 9, Beta Gamma, ..."
"36, 34, 30, 28, 24, ...",22,"Delta Eta, 34, 30, 28, 24, ..."
"22, 21, 23, 22, 24, 23, ...",25,"Gamma Gamma, 21, 23, 22, 24, 23, ..."
"53, 53, 40, 40, 27, 27, ...",14,"53, 53, 40, 40, 27, Gamma Theta, ..."
"21, 9, 21, 11, 21, 13, 21, ...",15,"21, 9, Gamma Beta, 11, 21, 13, 21, ..."
"58, 52, 46, 40, 34, ...",28,"58, Zeta Gamma, 46, 40, 34, ..."
"3, 4, 7, 8, 11, 12, ...",15,"3, Epsilon, 7, 8, 11, 12, ..."
"8, 22, 8, 28, 8, ...",34,"8, Gamma Gamma, 8, 28, 8, ..."
"31, 29, 24, 22, 17, ...",15,"Delta Beta, 29, 24, 22, 17, ..."
"1.5, 2.3, 3.1, 3.9, ...",4.7,"1.5, 2.3, 3.1, 3.9, ..."
"14, 28, 20, 40, 32, 64, ...",56,"14, 28, 20, 40, 32, Eta Epsilon, ..."
"2, 4, 6, 8, 10, ...",12,"2, 4, 6, 8, Beta Alpha, ..."
"201, 202, 204, 207, ...",211,"Gamma Alpha Beta, 202, 204, 207, ..."
"544, 509, 474, 439, ...",404,"544, 509, 474, Epsilon Delta Kappa, ..."
"80, 10, 70, 15, 60, ...",20,"Iota Alpha, 10, 70, 15, 60, ..."
"2, 6, 18, 54, ...",162,"Gamma, 6, 18, 54, ..."
"5.2, 4.8, 4.4, 4, ...",3.6,"5.2, 4.8, 4.4, Epsilon, ..."
"8, 6, 9, 23, 87, ...",429,"8, Eta, 9, 23, 87, ..."
"2, 5, 12.5, ...",31.25,"Gamma, 5, 12.5, ..."
"50, 45, 40, 35, 30, ...",25,"50, 45, 40, 35, Delta Alpha, ..."
"-10, -8, 6, 40, 102, ...",200,"-10, -8, 6, 40, Beta Alpha Gamma, ..."
"25, 49, 121, 169, ...",289,"Gamma Zeta, 49, 121, 169, ..."
"1, 30, 5, 26, 9, 22, 13, 18, ...",17,"1, 30, 5, Gamma Eta, 9, 22, 13, 18, ..."
"4, 18, ...",48,"4, Beta Iota, ..."
"11, 12, 15, 20, 27, ...",36,"11, Beta Gamma, 15, 20, 27, ..."
"14, 25, 47, 91, 179, ...",355,"14, 25, 47, Kappa Beta, 179, ..."
"4, 6, 9, 14, 21, ...",32,"4, 6, 9, 14, Gamma Beta, ..."
"3, 4, 7, 8, 11, 12, ...","15,16","3, 4, Theta, 8, 11, 12, ..."
"2, 3, 12, 37, 86, 166, 288, ...",166,"2, 3, 12, 37, 86, 166, Gamma Iota Iota, ..."
"81, 101, 121, ...",145,"Iota Beta, 101, 121, ..."
"11, 121, 15, ...",225,"Beta Beta, 121, 15, ..."
"2, 4, 8, 10, 14, ...",16,"2, 4, 8, Beta Alpha, 14, ..."
"1, 8, 9, 64, ...",25,"1, 8, Kappa, 64, ..."
"6, 11, 18, 27, ...",38,"6, 11, Beta Iota, 27, ..."
"3, 4.5, 9, ...",22.5,"Delta, 4.5, 9, ..."
"3, 5, 7, 9, 11, ...",13,"3, Zeta, 7, 9, 11, ..."
"1, 7, 37, 187, 937, ...",4687,"1, 7, Delta Theta, 187, 937, ..."
"1, 5, 19, 81, ...",411,"Beta, 5, 19, 81, ..."
"2, 6, 12, 20, ...",30,"Gamma, 6, 12, 20, ..."
"64, 58, 52, 46, ...",40,"64, 58, 52, Epsilon Eta, ..."
"3, 9, 27, 81, ...",243,"Delta, 9, 27, 81, ..."
"240, 60, 15, 5, ...",2,"240, 60, Beta Zeta, 5, ..."
"1, 4, 9, 16, ...",25,"1, 4, Kappa, 16, ..."
"8, 27, 64, 125, ...",216,"8, 27, Eta Epsilon, 125, ..."
"0, 1, 1, 2, 3, 5, ...",8,"Alpha, 1, 1, 2, 3, 5, ..."
"4, 9, 6, 11, 8, ...",13,"4, 9, 6, Beta Beta, 8, ..."
"12, 7, 21, 16, 30, ...",25,"12, 7, 21, 16, Delta Alpha, ..."
"101, 99, 96, 91, ?",84,"Beta Alpha Beta, 99, 96, 91, ?"
"97, 97, 82, 82, 67, 67, ...",52,"97, 97, 82, Iota Gamma, 67, 67, ..."
"109, 190, 239, 264, 273, ...",274,"Beta Alpha Kappa, 190, 239, 264, 273, ..."
"123, 98, 82, 73, 69, ...",68,"123, 98, Iota Gamma, 73, Eta Kappa, ..."
"47, 56, 74, 101, 137, ...",182,"47, 56, Theta Epsilon, 101, Beta Delta Theta, ..."
"13, 14, 23, 48, 97, 178, ...",299,"13, Beta Epsilon, 23, 48, Kappa Theta, 178, ..."
"24, 40, 64, 104, ..., 312",176,"Gamma Epsilon, 40, 64, 104, ..., Delta Beta Gamma"
"11, 13, 19, 49, 109, 239, ...",449,"11, Beta Delta, 19, 49, 109, Gamma Delta Kappa, ..."
"4, 5, 18, 19, 68, 69, ...",262,"Epsilon, 5, Beta Iota, 19, 68, 69, ..."
"6, 16, 29, 62, 121, ...",246,"Eta, Beta Eta, 29, 62, 121, ..."
"62, 74, 80, 86, 95, ..., 158",113,"62, 74, Iota Alpha, Iota Eta, 95, ..., 158"
"18, 24, 84, 294, 798, ...",1788,"18, 24, Iota Epsilon, Gamma Kappa Epsilon, 798, ..."
"19, 38, 35, ..., 135, 810",140,"19, Delta Iota, Delta Zeta, ..., 135, 810"
"1, 2, 6, 15, ..., 56, 92",31,"1, Gamma, Eta, 15, ..., 56, 92"
"5, 18, 70, 278, ...",1110,"5, 18, Theta Alpha, Gamma Theta Iota, ..."
"3, 5, 5, 19, 7, 41, 9, ...",71,"3, 5, 5, 19, 7, Epsilon Beta, Kappa, ..."
"4, 18, ..., 100, 180, 294, 448",48,"Epsilon, 18, ..., 100, 180, Gamma Kappa Epsilon, 448"
"1, 2, 6, 15, 31, 56, 91",91,"1, Gamma, 6, 15, 31, Zeta Eta, 91"
"132, 156, ..., 210, 240, 272",182,"132, Beta Zeta Eta, ..., 210, 240, Gamma Theta Gamma"
"10, 9, 60, 90, 70, 66, ...",96,"10, Kappa, 60, Kappa Alpha, 70, 66, ..."
"5, 9, 13, 17, 21, ...",25,"5, 9, Beta Delta, Beta Theta, 21, ..."
"8, 27, 125, 343, 1381",1381,"8, Gamma Theta, 125, 343, Beta Delta Iota Beta"
"102, 85, 68, 51, ...",34,"Beta Alpha Gamma, 85, Eta Iota, 51, ..."
"1, 3, 5, 7, ...",9,"Beta, Delta, 5, 7, ..."
"964, ?, 241, 120.5, 60.25",482,"Kappa Eta Epsilon, ?, Gamma Epsilon Beta, 120.5, 60.25"
"24, 26, 28, ?, 32, 34",30,"Gamma Epsilon, 26, Gamma Iota, ?, 32, 34"
"9, 11, 14, 16, 19, 21, ...",24,"9, Beta Beta, 14, 16, Beta Kappa, 21, ..."
"21, 55, 19, 50, 17, 45, ...",15,"21, 55, Beta Kappa, 50, 17, Epsilon Zeta, ..."
"13, 17, 26, 42, 67, ...",103,"13, Beta Theta, 26, Epsilon Gamma, 67, ..."
"13, 10, 7, 4, ...",1,"13, 10, Theta, Epsilon, ..."
"7, 11, 15, 19, 23, ...",27,"7, Beta Beta, 15, Beta Kappa, 23, ..."
"4, 18, ?, 100, 180, 294, 448",48,"4, Beta Iota, ?, Beta Alpha Alpha, 180, 294, 448"
