number_series,answer,obfuscation
"7, 10, 8, 11, 9, 12, ...",10,"7, 10, 8, 11, 9, c4ca4238a0b923820dcc509a6f75849b c81e728d9d4c2f636f067f89cc14862c, ..."
"36, 34, 30, 28, 24, ...",22,"eccbc87e4b5ce2fe28308fd9f2a7baf3 1679091c5a880faf6fb5e6087eb1b2dc, 34, 30, 28, 24, ..."
"22, 21, 23, 22, 24, 23, ...",25,"c81e728d9d4c2f636f067f89cc14862c c81e728d9d4c2f636f067f89cc14862c, 21, 23, 22, 24, 23, ..."
"53, 53, 40, 40, 27, 27, ...",14,"53, 53, 40, 40, 27, c81e728d9d4c2f636f067f89cc14862c 8f14e45fceea167a5a36dedd4bea2543, ..."
"21, 9, 21, 11, 21, 13, 21, ...",15,"21, 9, c81e728d9d4c2f636f067f89cc14862c c4ca4238a0b923820dcc509a6f75849b, 11, 21, 13, 21, ..."
"58, 52, 46, 40, 34, ...",28,"58, e4da3b7fbbce2345d7772b0674a318d5 c81e728d9d4c2f636f067f89cc14862c, 46, 40, 34, ..."
"3, 4, 7, 8, 11, 12, ...",15,"3, a87ff679a2f3e71d9181a67b7542122c, 7, 8, 11, 12, ..."
"8, 22, 8, 28, 8, ...",34,"8, c81e728d9d4c2f636f067f89cc14862c c81e728d9d4c2f636f067f89cc14862c, 8, 28, 8, ..."
"31, 29, 24, 22, 17, ...",15,"eccbc87e4b5ce2fe28308fd9f2a7baf3 c4ca4238a0b923820dcc509a6f75849b, 29, 24, 22, 17, ..."
"1.5, 2.3, 3.1, 3.9, ...",4.7,"1.5, 2.3, 3.1, 3.9, ..."
"14, 28, 20, 40, 32, 64, ...",56,"14, 28, 20, 40, 32, 1679091c5a880faf6fb5e6087eb1b2dc a87ff679a2f3e71d9181a67b7542122c, ..."
"2, 4, 6, 8, 10, ...",12,"2, 4, 6, 8, c4ca4238a0b923820dcc509a6f75849b cfcd208495d565ef66e7dff9f98764da, ..."
"201, 202, 204, 207, ...",211,"c81e728d9d4c2f636f067f89cc14862c cfcd208495d565ef66e7dff9f98764da c4ca4238a0b923820dcc509a6f75849b, 202, 204, 207, ..."
"544, 509, 474, 439, ...",404,"544, 509, 474, a87ff679a2f3e71d9181a67b7542122c eccbc87e4b5ce2fe28308fd9f2a7baf3 45c48cce2e2d7fbdea1afc51c7c6ad26, ..."
"80, 10, 70, 15, 60, ...",20,"c9f0f895fb98ab9159f51fd0297e236d cfcd208495d565ef66e7dff9f98764da, 10, 70, 15, 60, ..."
"2, 6, 18, 54, ...",162,"c81e728d9d4c2f636f067f89cc14862c, 6, 18, 54, ..."
"5.2, 4.8, 4.4, 4, ...",3.6,"5.2, 4.8, 4.4, a87ff679a2f3e71d9181a67b7542122c, ..."
"8, 6, 9, 23, 87, ...",429,"c9f0f895fb98ab9159f51fd0297e236d, 6, 9, 23, 87, ..."
"2, 5, 12.5, ...",31.25,"c81e728d9d4c2f636f067f89cc14862c, 5, 12.5, ..."
"50, 45, 40, 35, 30, ...",25,"50, a87ff679a2f3e71d9181a67b7542122c e4da3b7fbbce2345d7772b0674a318d5, 40, 35, 30, ..."
"-10, -8, 6, 40, 102, ...",200,"-10, -8, 6, 40, c4ca4238a0b923820dcc509a6f75849b cfcd208495d565ef66e7dff9f98764da c81e728d9d4c2f636f067f89cc14862c, ..."
"25, 49, 121, 169, ...",289,"c81e728d9d4c2f636f067f89cc14862c e4da3b7fbbce2345d7772b0674a318d5, 49, 121, 169, ..."
"1, 30, 5, 26, 9, 22, 13, 18, ...",17,"1, 30, 5, c81e728d9d4c2f636f067f89cc14862c 1679091c5a880faf6fb5e6087eb1b2dc, 9, 22, 13, 18, ..."
"4, 18, ...",48,"4, c4ca4238a0b923820dcc509a6f75849b c9f0f895fb98ab9159f51fd0297e236d, ..."
"11, 12, 15, 20, 27, ...",36,"11, c4ca4238a0b923820dcc509a6f75849b c81e728d9d4c2f636f067f89cc14862c, 15, 20, 27, ..."
"14, 25, 47, 91, 179, ...",355,"14, 25, 47, 45c48cce2e2d7fbdea1afc51c7c6ad26 c4ca4238a0b923820dcc509a6f75849b, 179, ..."
