number_series,answer,obfuscation
"7, 10, 8, 11, 9, 12, ...",10,"7, 10, 8, 11, 9, February March, ..."
"36, 34, 30, 28, 24, ...",22,"April July, 34, 30, 28, 24, ..."
"22, 21, 23, 22, 24, 23, ...",25,"March March, 21, 23, 22, 24, 23, ..."
"53, 53, 40, 40, 27, 27, ...",14,"53, 53, 40, 40, 27, March August, ..."
"21, 9, 21, 11, 21, 13, 21, ...",15,"21, 9, March February, 11, 21, 13, 21, ..."
"58, 52, 46, 40, 34, ...",28,"58, June March, 46, 40, 34, ..."
"3, 4, 7, 8, 11, 12, ...",15,"3, May, 7, 8, 11, 12, ..."
"8, 22, 8, 28, 8, ...",34,"8, March March, 8, 28, 8, ..."
"31, 29, 24, 22, 17, ...",15,"April February, 29, 24, 22, 17, ..."
"1.5, 2.3, 3.1, 3.9, ...",4.7,"1.5, 2.3, 3.1, 3.9, ..."
"14, 28, 20, 40, 32, 64, ...",56,"14, 28, 20, 40, 32, July May, ..."
"2, 4, 6, 8, 10, ...",12,"2, 4, 6, 8, February January, ..."
"201, 202, 204, 207, ...",211,"March January February, 202, 204, 207, ..."
"544, 509, 474, 439, ...",404,"544, 509, 474, May April November, ..."
"80, 10, 70, 15, 60, ...",20,"September January, 10, 70, 15, 60, ..."
"2, 6, 18, 54, ...",162,"March, 6, 18, 54, ..."
"5.2, 4.8, 4.4, 4, ...",3.6,"5.2, 4.8, 4.4, May, ..."
"8, 6, 9, 23, 87, ...",429,"8, July, 9, 23, 87, ..."
"2, 5, 12.5, ...",31.25,"March, 5, 12.5, ..."
"50, 45, 40, 35, 30, ...",25,"50, 45, 40, 35, April January, ..."
"-10, -8, 6, 40, 102, ...",200,"-10, -8, 6, 40, February January March, ..."
"25, 49, 121, 169, ...",289,"March June, 49, 121, 169, ..."
"1, 30, 5, 26, 9, 22, 13, 18, ...",17,"1, 30, 5, March July, 9, 22, 13, 18, ..."
"4, 18, ...",48,"4, February September, ..."
"11, 12, 15, 20, 27, ...",36,"11, February March, 15, 20, 27, ..."
"14, 25, 47, 91, 179, ...",355,"14, 25, 47, November February, 179, ..."
"4, 6, 9, 14, 21, ...",32,"4, 6, 9, 14, March February, ..."
"3, 4, 7, 8, 11, 12, ...","15,16","3, 4, August, 8, 11, 12, ..."
"2, 3, 12, 37, 86, 166, 288, ...",166,"2, 3, 12, 37, 86, 166, March September September, ..."
"81, 101, 121, ...",145,"September February, 101, 121, ..."
"11, 121, 15, ...",225,"February February, 121, 15, ..."
"2, 4, 8, 10, 14, ...",16,"2, 4, 8, February January, 14, ..."
"1, 8, 9, 64, ...",25,"1, 8, November, 64, ..."
"6, 11, 18, 27, ...",38,"6, 11, February September, 27, ..."
"3, 4.5, 9, ...",22.5,"April, 4.5, 9, ..."
"3, 5, 7, 9, 11, ...",13,"3, June, 7, 9, 11, ..."
"1, 7, 37, 187, 937, ...",4687,"1, 7, April August, 187, 937, ..."
"1, 5, 19, 81, ...",411,"February, 5, 19, 81, ..."
