,number_series,answer,obfuscation,obfuscation_ground_truth
2,"22, 21, 23, 22, 24, 23, ...",25,"Tuesday Tuesday, Tuesday Monday, Tuesday Wednesday, Tuesday Tuesday, Tuesday Thursday, Tuesday Wednesday, ",Tuesday Friday
18,"2, 5, 12.5, ...",31.25,"Tuesday, Friday, Monday Tuesday Friday, ",Wednesday Monday Tuesday Friday
19,"50, 45, 40, 35, 30, ...",25,"Friday Sunday, Thursday Friday, Thursday Sunday, Wednesday Friday, Wednesday Sunday, ",Tuesday Friday
30,"11, 121, 15, ...",225,"Monday Monday, Monday Tuesday Monday, Monday Friday, ",Tuesday Tuesday Friday
38,"2, 6, 12, 20, ...",30,"Tuesday, Saturday, Monday Tuesday, Tuesday Sunday, ",Wednesday Sunday
41,"240, 60, 15, 5, ...",2,"Tuesday Thursday Sunday, Saturday Sunday, Monday Friday, Friday, ",Tuesday
84,"2, 5, 10, 50, 500, 5000",5000,"Tuesday, Friday, Monday Sunday, Friday Sunday, Friday Sunday Sunday, Friday Sunday Sunday Sunday",Friday Sunday Sunday Sunday
88,"6, 16, 34, 62, 102, ?",156,"Saturday, Monday Saturday, Wednesday Thursday, Saturday Tuesday, Monday Sunday Tuesday, ",Monday Friday Saturday
178,"4, 2, 2, 3, 6, ?",15,"Thursday, Tuesday, Tuesday, Wednesday, Saturday, ",Monday Friday
188,"1, 0, 6, -3, 40, 100",100,"Monday, Sunday, Saturday, Wednesday, Thursday Sunday, Monday Sunday Sunday",Monday Sunday Sunday
206,"5, 10, 30, 150, 600, 3600",150,"Friday, Monday Sunday, Wednesday Sunday, Monday Friday Sunday, Saturday Sunday Sunday, Wednesday Saturday Sunday Sunday",Monday Friday Sunday
209,"225, 236, 260, 301, 355, 430",301,"Tuesday Tuesday Friday, Tuesday Wednesday Saturday, Tuesday Saturday Sunday, Wednesday Sunday Monday, Wednesday Friday Friday, Thursday Wednesday Sunday",Wednesday Sunday Monday
236,"660, 656, 620, 520, 324, ?",0,"Saturday Saturday Sunday, Saturday Friday Saturday, Saturday Tuesday Sunday, Friday Tuesday Sunday, Wednesday Tuesday Thursday, ",Sunday
252,"0, 6, 24, 60, 120, ?",210,"Sunday, Saturday, Tuesday Thursday, Saturday Sunday, Monday Tuesday Sunday, ",Tuesday Monday Sunday
