number_series,answer,obfuscation,obfuscation_ground_truth
"7, 10, 8, 11, 9, 12, ...",10,"Uranus, Mercury Sun, Neptune, Mercury Mercury, Pluto, Mercury Venus, ",Mercury Sun
"36, 34, 30, 28, 24, ...",22,"Earth Saturn, Earth Mars, Earth Sun, Venus Neptune, Venus Mars, ",Venus Venus
"22, 21, 23, 22, 24, 23, ...",25,"Venus Venus, Venus Mercury, Venus Earth, Venus Venus, Venus Mars, Venus Earth, ",Venus Jupiter
"53, 53, 40, 40, 27, 27, ...",14,"Jupiter Earth, Jupiter Earth, Mars Sun, Mars Sun, Venus Uranus, Venus Uranus, ",Mercury Mars
"21, 9, 21, 11, 21, 13, 21, ...",15,"Venus Mercury, Pluto, Venus Mercury, Mercury Mercury, Venus Mercury, Mercury Earth, Venus Mercury, ",Mercury Jupiter
"58, 52, 46, 40, 34, ...",28,"Jupiter Neptune, Jupiter Venus, Mars Saturn, Mars Sun, Earth Mars, ",Venus Neptune
"3, 4, 7, 8, 11, 12, ...",15,"Earth, Mars, Uranus, Neptune, Mercury Mercury, Mercury Venus, ",Mercury Jupiter
"8, 22, 8, 28, 8, ...",34,"Neptune, Venus Venus, Neptune, Venus Neptune, Neptune, ",Earth Mars
"31, 29, 24, 22, 17, ...",15,"Earth Mercury, Venus Pluto, Venus Mars, Venus Venus, Mercury Uranus, ",Mercury Jupiter
"1.5, 2.3, 3.1, 3.9, ...",4.7,"Mercury Jupiter, Venus Earth, Earth Mercury, Earth Pluto, ",Mars Uranus
"14, 28, 20, 40, 32, 64, ...",56,"Mercury Mars, Venus Neptune, Venus Sun, Mars Sun, Earth Venus, Saturn Mars, ",Jupiter Saturn
"2, 4, 6, 8, 10, ...",12,"Venus, Mars, Saturn, Neptune, Mercury Sun, ",Mercury Venus
"201, 202, 204, 207, ...",211,"Venus Sun Mercury, Venus Sun Venus, Venus Sun Mars, Venus Sun Uranus, ",Venus Mercury Mercury
"544, 509, 474, 439, ...",404,"Jupiter Mars Mars, Jupiter Sun Pluto, Mars Uranus Mars, Mars Earth Pluto, ",Mars Sun Mars
"80, 10, 70, 15, 60, ...",20,"Neptune Sun, Mercury Sun, Uranus Sun, Mercury Jupiter, Saturn Sun, ",Venus Sun
"2, 6, 18, 54, ...",162,"Venus, Saturn, Mercury Neptune, Jupiter Mars, ",Mercury Saturn Venus
"5.2, 4.8, 4.4, 4, ...",3.6,"Jupiter Venus, Mars Neptune, Mars Mars, Mars, ",Earth Saturn
"8, 6, 9, 23, 87, ...",429,"Neptune, Saturn, Pluto, Venus Earth, Neptune Uranus, ",Mars Venus Pluto
"2, 5, 12.5, ...",31.25,"Venus, Jupiter, Mercury Venus Jupiter, ",Earth Mercury Venus Jupiter
"50, 45, 40, 35, 30, ...",25,"Jupiter Sun, Mars Jupiter, Mars Sun, Earth Jupiter, Earth Sun, ",Venus Jupiter
"-10, -8, 6, 40, 102, ...",200,"Mercury Sun, Neptune, Saturn, Mars Sun, Mercury Sun Venus, ",Venus Sun Sun
"25, 49, 121, 169, ...",289,"Venus Jupiter, Mars Pluto, Mercury Venus Mercury, Mercury Saturn Pluto, ",Venus Neptune Pluto
"1, 30, 5, 26, 9, 22, 13, 18, ...",17,"Mercury, Earth Sun, Jupiter, Venus Saturn, Pluto, Venus Venus, Mercury Earth, Mercury Neptune, ",Mercury Uranus
"4, 18, ...",48,"Mars, Mercury Neptune, ",Mars Neptune
"11, 12, 15, 20, 27, ...",36,"Mercury Mercury, Mercury Venus, Mercury Jupiter, Venus Sun, Venus Uranus, ",Earth Saturn
"14, 25, 47, 91, 179, ...",355,"Mercury Mars, Venus Jupiter, Mars Uranus, Pluto Mercury, Mercury Uranus Pluto, ",Earth Jupiter Jupiter
"4, 6, 9, 14, 21, ...",32,"Mars, Saturn, Pluto, Mercury Mars, Venus Mercury, ",Earth Venus
"3, 4, 7, 8, 11, 12, ...","15,16","Earth, Mars, Uranus, Neptune, Mercury Mercury, Mercury Venus, ",Mercury Jupiter Mercury Saturn
"2, 3, 12, 37, 86, 166, 288, ...",166,"Venus, Earth, Mercury Venus, Earth Uranus, Neptune Saturn, Mercury Saturn Saturn, Venus Neptune Neptune, ",Mercury Saturn Saturn
"81, 101, 121, ...",145,"Neptune Mercury, Mercury Sun Mercury, Mercury Venus Mercury, ",Mercury Mars Jupiter
"11, 121, 15, ...",225,"Mercury Mercury, Mercury Venus Mercury, Mercury Jupiter, ",Venus Venus Jupiter
"2, 4, 8, 10, 14, ...",16,"Venus, Mars, Neptune, Mercury Sun, Mercury Mars, ",Mercury Saturn
"1, 8, 9, 64, ...",25,"Mercury, Neptune, Pluto, Saturn Mars, ",Venus Jupiter
"6, 11, 18, 27, ...",38,"Saturn, Mercury Mercury, Mercury Neptune, Venus Uranus, ",Earth Neptune
"3, 4.5, 9, ...",22.5,"Earth, Mars Jupiter, Pluto, ",Venus Venus Jupiter
"3, 5, 7, 9, 11, ...",13,"Earth, Jupiter, Uranus, Pluto, Mercury Mercury, ",Mercury Earth
"1, 7, 37, 187, 937, ...",4687,"Mercury, Uranus, Earth Uranus, Mercury Neptune Uranus, Pluto Earth Uranus, ",Mars Saturn Neptune Uranus
"1, 5, 19, 81, ...",411,"Mercury, Jupiter, Mercury Pluto, Neptune Mercury, ",Mars Mercury Mercury
"2, 6, 12, 20, ...",30,"Venus, Saturn, Mercury Venus, Venus Sun, ",Earth Sun
"64, 58, 52, 46, ...",40,"Saturn Mars, Jupiter Neptune, Jupiter Venus, Mars Saturn, ",Mars Sun
"3, 9, 27, 81, ...",243,"Earth, Pluto, Venus Uranus, Neptune Mercury, ",Venus Mars Earth
"240, 60, 15, 5, ...",2,"Venus Mars Sun, Saturn Sun, Mercury Jupiter, Jupiter, ",Venus
"1, 4, 9, 16, ...",25,"Mercury, Mars, Pluto, Mercury Saturn, ",Venus Jupiter
"8, 27, 64, 125, ...",216,"Neptune, Venus Uranus, Saturn Mars, Mercury Venus Jupiter, ",Venus Mercury Saturn
"0, 1, 1, 2, 3, 5, ...",8,"Sun, Mercury, Mercury, Venus, Earth, Jupiter, ",Neptune
