number_series,answer
"7, 10, 8, 11, 9, 12, ...",10
"36, 34, 30, 28, 24, ...",22
"22, 21, 23, 22, 24, 23, ...",25
"53, 53, 40, 40, 27, 27, ...",14
"21, 9, 21, 11, 21, 13, 21, ...",15
"58, 52, 46, 40, 34, ...",28
"3, 4, 7, 8, 11, 12, ...",15
"8, 22, 8, 28, 8, ...",34
"31, 29, 24, 22, 17, ...",15
"1.5, 2.3, 3.1, 3.9, ...",4.7
"14, 28, 20, 40, 32, 64, ...",56
"2, 4, 6, 8, 10, ...",12
"201, 202, 204, 207, ...",211
"544, 509, 474, 439, ...",404
"80, 10, 70, 15, 60, ...",20
"2, 6, 18, 54, ...",162
"5.2, 4.8, 4.4, 4, ...",3.6
"8, 6, 9, 23, 87, ...",429
"2, 5, 12.5, ...",31.25
"50, 45, 40, 35, 30, ...",25
"-10, -8, 6, 40, 102, ...",200
"25, 49, 121, 169, ...",289
"1, 30, 5, 26, 9, 22, 13, 18, ...",17
"4, 18, ...",48
"11, 12, 15, 20, 27, ...",36
"14, 25, 47, 91, 179, ...",355
"4, 6, 9, 14, 21, ...",32
"3, 4, 7, 8, 11, 12, ...","15,16"
"2, 3, 12, 37, 86, 166, 288, ...",166
"81, 101, 121, ...",145
"11, 121, 15, ...",225
"2, 4, 8, 10, 14, ...",16
"1, 8, 9, 64, ...",25
"6, 11, 18, 27, ...",38
"3, 4.5, 9, ...",22.5
"3, 5, 7, 9, 11, ...",13
"1, 7, 37, 187, 937, ...",4687
"1, 5, 19, 81, ...",411
"2, 6, 12, 20, ...",30
"64, 58, 52, 46, ...",40
"3, 9, 27, 81, ...",243
"240, 60, 15, 5, ...",2
"1, 4, 9, 16, ...",25
"8, 27, 64, 125, ...",216
"0, 1, 1, 2, 3, 5, ...",8
"4, 9, 6, 11, 8, ...",13
"12, 7, 21, 16, 30, ...",25
"101, 99, 96, 91, ?",84
"97, 97, 82, 82, 67, 67, ...",52
"109, 190, 239, 264, 273, ...",274
"123, 98, 82, 73, 69, ...",68
"47, 56, 74, 101, 137, ...",182
"13, 14, 23, 48, 97, 178, ...",299
"24, 40, 64, 104, ..., 312",176
"11, 13, 19, 49, 109, 239, ...",449
"4, 5, 18, 19, 68, 69, ...",262
"6, 16, 29, 62, 121, ...",246
"62, 74, 80, 86, 95, ..., 158",113
"18, 24, 84, 294, 798, ...",1788
"19, 38, 35, ..., 135, 810",140
"1, 2, 6, 15, ..., 56, 92",31
"5, 18, 70, 278, ...",1110
"3, 5, 5, 19, 7, 41, 9, ...",71
"4, 18, ..., 100, 180, 294, 448",48
"1, 2, 6, 15, 31, 56, 91",91
"132, 156, ..., 210, 240, 272",182
"10, 9, 60, 90, 70, 66, ...",96
"5, 9, 13, 17, 21, ...",25
"8, 27, 125, 343, 1381",1381
"102, 85, 68, 51, ...",34
"1, 3, 5, 7, ...",9
"964, ?, 241, 120.5, 60.25",482
"24, 26, 28, ?, 32, 34",30
"9, 11, 14, 16, 19, 21, ...",24
"21, 55, 19, 50, 17, 45, ...",15
"13, 17, 26, 42, 67, ...",103
"13, 10, 7, 4, ...",1
"7, 11, 15, 19, 23, ...",27
"4, 18, ?, 100, 180, 294, 448",48
"3, 5, 5, 19, 7, 41, 9, ...",71
"1, 2, 3, 10, ?, 9802",99
"1, 2, 6, 15, 31, 56, 91",91
"132, 156, ?, 210, 240, 272",182
"2, 3, 4, 4, 6, 8, 9, 12, 16",9
"2, 5, 10, 50, 500, 5000",5000
"3, 8, 15, 24, 34, 48, 63",34
"1024, 520, 268, 142, ?, 47.5",79
"32, 16.5, 17.5, 27.75, 57.5, ?",146.25
"6, 16, 34, 62, 102, ?",156
"100, 101, 102, 101, 96, ?, 66",85
"3, 10, 24, 50, ?, 170",120
"32, 35, 64, 71, 104, ?, 152",115
"4, 20, 29, 38, 47, 56, ?",65
"9, 24, 69, 204, 609, ?",1824
"582, 751, 555, 724, 528, ?",697
"14, 33, 71, 128, 204, ?",
"8, 12, 18, 27, 40.5, 60.75, ?",91.125
"13, 15, 21, 37, 77, 173, ?",397
"8648, 8834, 9022, 9212, 9404, 9598, ?",9794
"23, 21, 45, 131, 529, ?, 15841",2639
"64, 88, 152, 162, 174, ?",202
"43, 47, 56, 81, 130, ?",251
"1022, 1009, 983, 944, 892, ?",827
"1025, 1024, 1019, 1005, 975, ?",920
"196, 201, 208.5, 218.5, 231, ?",246
"489, 510, 516, 528, 543, 555, ?",570
"81, 91, 109, 146, 221, 351, ?",576
"540, 538, 534, 526, 510, ?, 414",478
"32, 24, 20, 18, 17, ?",16.5
"1, 3, 9, 39, 249, 2559, ?",32589
"704, 88, 22, 8.25, ?",4.125
"2, 10, 30, 68, 130, ?",222
"1, 4, 15, 28, 57, 88, ?",143
"122, 171, 228, 293, 366, ?",447
"13, 15, 19, 27, 43, ?",75
"25, 33, 54, 99, 179, ?",305
"384, 377, 356, 321, ?, 209",272
"5, 9, 16, 32, 75, ?",199
"3, 16, 45, 96, 175, ?",288
"3, 11, 29, 67, 145, ?",303
"2, 12, 36, 80, 150, 252, ?",392
"1, 5, 19, 81, 411, ?",2884
"9, 20, 36, 78, 148, 306, ?",600
"17, 33, 64, 124, 240, 464, ?",896
"15, 19, 83, 119, 631, ?",731
"15, 22, 40, 75, 133, ?",220
"24, 31, 52, 87, 136, ?",199
"15, 8, 9, ?, 32, 82.5, 250.5",15
"1, 9, 61, 497, 4981, ?",59785
"2, 5, 23, 119, ?, 4079",659
"3, 4, 14, 73, 515, ?",4640
"7, 16, 30, 62, 122, ?",246
"11043, 11056, 11045, 11054, 11047, ?",11052
"256, 128, 192, 480, ?, 7560",1680
"47, 48, 51, 60, 87, ?",168
"147, 148, 150, 159, 223, ?",848
"145, 158, 119, 184, 93, ?",210
"143, 151, 158, 172, 182, ?",193
"47, 78, 115, 164, 231, ?",322
